N;p;q;found_divisor;time;divisor_equal;base_size
31049;61;509;509;0.0;True;10
386803;631;613;631;0.0;True;10
743471;809;919;919;0.0004994869232177734;True;10
692207;631;1097;631;0.0;True;11
142617070067;395597;360511;395597;0.000499725341796875;True;20
5456970766111;3025819;1803469;3025819;0.003497600555419922;True;23
326238281351;551489;591559;591559;0.0025098323822021484;True;21
181945558547;398119;457013;457013;0.013983726501464844;True;19
493317581;17681;27901;27901;0.0;True;16
15484711337477;788789;19630993;788789;0.008491039276123047;True;25
23208577739;147299;157561;157561;0.0009987354278564453;True;18
525800617;98779;5323;5323;0.0009989738464355469;True;17
1966;983;2;2;0.0;True;11
1197629;239;5011;239;0.0;True;13
5017876769;8501;590269;8501;0.0;True;20
5415122771;54539;99289;99289;0.00099945068359375;True;17
46;23;2;2;0.0;True;10
347077;773;449;449;0.0;True;10
5022077;2239;2243;2239;0.0;True;12
1304647;2029;643;2029;0.0;True;11
110612477150381;7540499;14669119;14669119;0.005993843078613281;True;24
1569015038999;1688909;929011;929011;0.04345560073852539;True;21
1563;3;521;3;0.0;True;10
37333;1009;37;37;0.0;True;10
9089855163733;1912831;4752043;1912831;0.10538053512573242;True;24
7260109273;104971;69163;69163;0.0;True;18
319089161469193;29654071;10760383;10760383;0.006493091583251953;True;25
237754249;3631;65479;3631;0.0004994869232177734;True;17
56471197;20693;2729;20693;0.0;True;15
72184442883947;31098341;2321167;31098341;0.01997828483581543;True;25
23427637;3187;7351;3187;0.0;True;14
205501847;15271;13457;15271;0.0;True;15
36103;457;79;79;0.0;True;10
1045753;1933;541;541;0.0004994869232177734;True;11
75301132661;219763;342647;342647;0.001512765884399414;True;19
3510361;977;3593;3593;0.0;True;12
531554333;20483;25951;20483;0.0015003681182861328;True;15
95129;379;251;379;0.0;True;10
253099895491;102859;2460649;102859;0.0004923343658447266;True;22
91526837627;464549;197023;464549;0.018480777740478516;True;19
13458287;3347;4021;4021;0.000499725341796875;True;12
66544698612737;7969069;8350373;7969069;0.3536381721496582;True;23
28330090136347;13464251;2104097;2104097;0.016491174697875977;True;24
2768761;1867;1483;1483;0.0;True;11
2083571296243;1637563;1272361;1637563;0.00099945068359375;True;21
6588273973;19051;345823;19051;0.0004985332489013672;True;19
6246652694119;2709907;2305117;2305117;0.0034966468811035156;True;24
4562234012027;607199;7513573;7513573;0.0014984607696533203;True;24
6001;353;17;17;0.0;True;10
104274655385567;16611299;6277333;16611299;0.00899648666381836;True;24
142751221;10781;13241;10781;0.0005006790161132812;True;14
7631551349;78041;97789;97789;0.0004980564117431641;True;17
543215744519891;24576743;22102837;24576743;0.29270076751708984;True;25
6304793779;56489;111611;111611;0.0029973983764648438;True;17
2680933;997;2689;2689;0.0;True;12
13982951929;131891;106019;106019;0.0004987716674804688;True;18
4852020305177;1948907;2489611;1948907;0.0019981861114501953;True;22
2919731;2029;1439;2029;0.0;True;11
4122427249;162691;25339;25339;0.0009984970092773438;True;18
1867365919;55331;33749;33749;0.006493091583251953;True;16
128331931129;41809;3069481;41809;0.0004987716674804688;True;23
583992307;24223;24109;24223;0.0;True;15
0;821;0;2;0.0;False;10
517663;839;617;839;0.0;True;10
1016908848552977201;994614317;1022415253;994614317;0.10639119148254395;True;30
1765847;6871;257;257;0.0;True;13
64095492720029;12677333;5055913;5055913;0.08141660690307617;True;25
25560221546744119;42203659;605639941;42203659;0.840139627456665;True;30
15693046982177;1980113;7925329;1980113;0.005993366241455078;True;23
38619739;2777;13907;2777;0.0;True;14
2087672016796409;53186417;39251977;53186417;0.007991790771484375;True;26
8285783345438737;86851621;95401597;95401597;0.11138629913330078;True;28
586237312052759;29897911;19607969;19607969;0.005007743835449219;True;25
355807;929;383;929;0.0;True;11
99821;173;577;577;0.0;True;11
157033;421;373;373;0.0;True;12
34617958879674139;338147923;102375193;102375193;0.033954620361328125;True;29
8686615681501;4297673;2021237;2021237;0.0009987354278564453;True;23
163037975917;522757;311881;522757;0.002497434616088867;True;19
3778783;1493;2531;2531;0.0004999637603759766;True;12
692531941299817;40745219;16996643;16996643;0.010488510131835938;True;26
7421545580826203;66880379;110967457;110967457;0.03546476364135742;True;28
6946269193;54269;127997;54269;0.0009992122650146484;True;17
13076914158821;3725503;3510107;3725503;0.021477937698364258;True;23
1452587;1163;1249;1249;0.0;True;11
642435071187449;25768217;24931297;25768217;0.011487245559692383;True;25
1142027;967;1181;967;0.0005002021789550781;True;11
26495337681770759;224440861;118050419;118050419;0.029481887817382812;True;28
299837;683;439;439;0.0;True;12
235985895355033;10276337;22964009;10276337;0.004994869232177734;True;25
175850734383331669;399055843;440666983;440666983;0.035962820053100586;True;29
9912797;2447;4051;2447;0.0;True;12
3333615682544179;22401193;148814203;22401193;0.005994319915771484;True;29
147431761;9151;16111;9151;0.0;True;14
211699027;22193;9539;22193;0.0004990100860595703;True;16
1391;107;13;13;0.0;True;10
54330101550497;12217987;4446731;12217987;0.006993532180786133;True;25
343935377;12241;28097;28097;0.0;True;16
433346284100231;11942893;36284867;11942893;0.008481502532958984;True;27
472345199;22993;20543;22993;0.0;True;15
4255194247;91229;46643;46643;0.0014972686767578125;True;17
13114589;3923;3343;3343;0.0;True;12
514727;547;941;547;0.0;True;12
1211153;1789;677;677;0.0;True;13
6160471;1933;3187;1933;0.0004994869232177734;True;12
831794896787360383;916809373;907271371;907271371;0.035950422286987305;True;30
85128320602842833;449538107;189368419;189368419;0.010985374450683594;True;30
1362769;499;2731;499;0.0;True;12
